,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min_Salary,Max_Salary,Average_Salary,Company Age,Job_State,python_yn,R_yn,spark,aws,excel,Job_simple,Seniority,desc_len,num_comp
14,Data Science & Analytics Intern,$97K-$157K (Glassdoor Est.),"Job Summary   We are looking for a Data Science Intern to organize and interpret data for key decision makers and support online business growth for our clients. You will work hand in hand with our award winning strategists, marketing team and engineers. Our ideal candidate is a responsible, dedicated, and career-minded professional interested in growth opportunities. So if you’ve got the talent and if you are looking to start your career with a company with great culture who truly values their employees, empowers individual growth and would love to have a healthy work/life balance, we’d love to hear from you.  This is a full time position with benefits. We are open to part-time if you are finishing school.  About Cuker   Cuker is a progressive Digital Design & Marketing Agency that specializes in driving results for our clients. We work with some of the world’s most recognizable brands on high profile creative and advertising campaigns. Our offices are located in sunny North County San Diego just a short walk to the beach. Our stat of the art campus includes gym membership, yoga classes, surf racks, spa style locker rooms, grab-and-go bikes, and more. We offer competitive salary, PTO, and excellent benefits. We are committed to supporting and empowering our team in a creative, dynamic and open environment where every voice is heard and every member serves as an essential component of the greater good.  Daily Responsibilities: Organize data from multiple analytics platforms Manage spreadsheets and performance reports Create Data Visualization presentations for reports Collaborative problem solving Strategy projects Desired Skills Excellent Excel and Spreadsheet Skills Strong Mathematics Skills Data Science Statistics PowerPoint / Keynote Google Analytics Experience with Google Data Studio a Plus Detail Oriented Team Player Strong written and verbal communication skills Please submit a resume and a URL to your LinkedIn profile.",4.4,Cuker,"San Diego, CA","San Diego, CA",1 to 50 employees,2006,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,97,157,127.0,14,CA,0,0,0,0,1,Data Scientist,N/A,1960,0
15,Data Science Intern,$97K-$157K (Glassdoor Est.),"Responsibilities  Work on high-visibility projects (e.g. price optimization, content marketing, and demand forecasting) Participate in customer engagement, product definition, success metrics, prioritize features, to deliver a polished market-ready product Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, and effectively communicate findings and provide key insights/recommendations to various functional leads Own cross-functional interactions for your features (across eng/marketing/field/sales) Requirements  Degree or currently pursuing degree in a quantitative discipline (e.g. Operations Research, Statistics, Economics) Proficient knowledge of R or Python, SQL Comfortable with quantitative analysis, statistical techniques, data mining Good communicator (written & visual presentation) Strong interpersonal skills and ability to influence others Great team player This is a college credit only internship.",4.7,SiO Digital,"San Diego, CA","San Diego, CA",1 to 50 employees,2015,Company - Private,Advertising & Marketing,Business Services,₹100 to ₹500 million (INR),"SmartBug Media, Kobe Digital (US), Firesnap",97,157,127.0,5,CA,1,0,0,0,0,Data Scientist,N/A,976,3
16,"Product Analyst, Data Science",$97K-$157K (Glassdoor Est.),"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; New York, NY, USA  Minimum qualifications: Bachelor's degree or equivalent practical experience. 3 years of experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.). Experience articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer. Preferred qualifications: BA/BS or Master's degree in a quantitative field such as; Statistics, Computer Science, Engineering, Mathematics, Data Sciences. Experience in scripting with SQL, extracting large sets of data, and design of ETL flows. Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation. Ability to translate analysis results into business recommendations, and excellent written and verbal communication skills. Distinctive problem solving skills and impeccable business judgment. About the job   Product Analysts provide quantitative analysis, market expertise and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you'll serve as an analytics expert for your partners, using numbers to help them make better decisions. You will weave stories with meaningful insight from data. You'll make key recommendations for your fellow Googlers in Engineering and Product Management.  As a Product Analyst, you relish tallying up the numbers one minute and communicating your findings to a team leader the next. You can see different angles of a product or business opportunity, and you know how to connect the dots and interact with people in various roles and functions. You will work to effectively turn business questions into data analysis, and provide meaningful recommendations on strategy. Responsibilities Conduct data analysis to make business recommendations (e.g. cost-benefit, invest-divest, forecasting, impact analysis). Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information. Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities. Collaborate with cross-functional stakeholders to formulate and complete full cycle analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations. Help Google to focus on key decisions to improve products and services.  Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Microsoft, Apple, Facebook",97,157,127.0,22,NY,0,0,0,0,1,Data Scientist,N/A,3158,3
17,IT Partner Digital Health Technology and Data Science,$97K-$157K (Glassdoor Est.),"Company Description  null Job Description  At Biogen, the Digital Health Technology team is part of Biogen’s cross functional IT organization that provides scientists with cutting-edge computational informatics and analytics tools and services. The team collaborates closely with multiple business teams from R&D, PO&T and Medical on points of common interest. The team has technical depth, agility and great motivation to enable solving scientifically demanding problems.  The IT Partner/Senior IT Partner is an experienced, motivated individual who will serve as a strategic IT liaison to the business teams, focused on building strong partnerships and delivering strategic and meaningful IT solutions.  The IT Partner/Senior IT Partner will partner with the business to understand their key processes around research, especially those related to importing and generating petabyte scale data, building the next generation of Biogen R&D’s high performance computing and data resources for applications in areas of genetics and genomics, cheminformatics, proteomics, image analysis, devices, wearables and related sources of data, data processing pipelines for target identification, validation, drug discovery, and patient stratification. This lead technical IT Partner will work with a team of Neuroscientists to evaluate and select relevant, cutting edge technologies.  The individual in this role must be focused on business outcomes and will be accountable for project success from initial project business case justification through deployment and operationalization.  Key responsibilities will include: Take ownership for appropriate stakeholder management of the DQM teams. Lead through influence and partnership at all levels of the organization. Establish and maintain strong relationships to navigate within a matrixed organization. Contribute and assist in defining and maintaining the business capability-based IT roadmap for the IT strategy. Be a trusted proxy in communicating the technology strategy for IT applications and IT operations to the business stakeholders Utilizing broad business and IT knowledge and expertise in digital health devices to proactively research strategic technological solutions to collect real world evidence and/or clinical trial data from neurodegenerative disease populations. Develop business cases and define projects that will deliver on the future roadmap and understand Research and Development needs and provide solutions to help determine optimal technology to deploy in clinical trials and/or at hospitals and research centers Lead and drive successful execution on all aspects of technology projects, including developing scalable and robust digital solutions, analyzing requirements and systems architecture to make recommendations to senior leaders. Provide oversight (including financial budgets, IT vendor resources) to ensure delivery of agreed upon portfolio of projects Manage multiple vendors to deliver successful outcomes. Collaborate with cross-functional project teams comprising functional, technical, regulatory and quality assurance for digital device execution projects. Serve as escalation and coordination point of contact for major issues impacting DQM critical business operations. Qualifications Good understanding of the Medical Device development process, knowledge of IEC 62304, Medical Device Software – Software Life Cycle processes, including Design Controls, and Quality Systems Regulation. Good understanding of the contemporary software engineering landscape, including distributed architecture, Agile methods, and mobile technologies. Experience in neurological disease areas is desirable. Demonstrable Business Analyst experience. Project management and leadership experience. Vendor management experience. Comfort with ambiguity and a problem-solving aptitude. Excellent facilitation, communication and presentation skills and ability to communicate highly technical work to a diverse audience. Experience with data management, setting up cloud infrastructure for data collection is preferred. Strong forecasting and budgeting experience. 10+ years IT/Industry Experience. Life sciences industry experience is a plus. Education : Bachelors or Masters degree in Computer Science, Engineering or related field required. Additional Information  Biogen has one of the most exciting pipelines in the Biotech / Pharmaceutical industry. Drug discovery continues to be transformed by powerful computational sciences and technologies that translate measurements into actionable knowledge about disease, patients and therapeutics. At Biogen, the Digital Health Technology team is part of Biogen’s cross functional IT organization that provides scientists with cutting-edge computational informatics and analytics tools and services.",3.6,Biogen,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹500+ billion (INR),-1,97,157,127.0,42,MA,0,0,0,0,1,Data Scientist,N/A,4812,0
18,Data Science Intern,$97K-$157K (Glassdoor Est.),"**This posting is for part-time or full-time interns beginning in Fall 2020.**  At Tagup, we use machine learning to make the machines that power the world safer, more reliable, and more efficient. During this internship, you will work closely with our co-founder/CTO and data science team on implementing cutting-edge machine learning methods and integrating them into our platform. The ideal candidate should have a strong academic background in ML and excellent programming abilities, preferably in Python. Interns will have the opportunity and support to publish on company blogs and academic journals.  Potential projects include:  - Investigating deep learning network architectures for time-series survival modelling of industrial assets - Implementing distributed learning algorithms for large scale operating mode and anomaly detection on industrial data - Develop model-based reinforcement learning algorithms to minimize power and water consumption in industrial processes  Desired skills: - At least 1 year of academic or professional data science work or experience - Deep familiarity with Python  Bonus Points: Technical expertise and proficiency in deep learning using Keras, Tensorflow, or Pytorch Background in time series analysis, survival modeling, hidden Markov models, Gaussian processes, and variational inference Experience working with very large datasets, especially using Dask  Join us in the vibrant Greentown Labs community, the largest cleantech incubator in the United States. As an intern at Tagup you will enjoy all the benefits of being a Greentown Labs member, including monthly networking events with tech start-ups from around the Greater Boston area.",4.0,Tagup,"Somerville, MA","Somerville, MA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,97,157,127.0,-1,MA,1,0,0,0,1,Data Scientist,N/A,1688,0
19,Data Science Internship,$97K-$157K (Glassdoor Est.),"If you love to problem solve and think outside of the box.....KEEP READING!!!  CATCH Intelligence is hiring Data Science Interns!  $16.00/Hour plus free catered lunches and snacks all day!  We are looking for a local Sophmore, Junior or Senior with a major or minor in Math, Computer Science or MIS. Must have experience using R. Classes in Data Science, Data Visual, Operations Research would be helpful. We are looking for Interns who are willing to remain working for CATCH after the internship.  Prefer: Strong Math skills, creative team and independent problem solving skills and/or Database knowledge, Statistics, Machine learning Learn in a relaxed and friendly environment! Sharpen your skills under wings of Senior Data Scientist, Senior Programmers, Developers, and Architects! Build a solid path for your future today!  Apply today with your resume and transcripts!",3.9,CATCH Intelligence,"Omaha, NE","Omaha, NE",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,97,157,127.0,-1,NE,0,0,0,0,0,Data Scientist,N/A,876,0
20,Data Science Manager,$97K-$157K (Glassdoor Est.),"Discord Secret Sauce recipe:   -3/4th of a cup of user classification to define core use cases and tailor our product to suit different needs  -2/3rds a cup of characterizing a healthy Discord server and learning how can we help more server owners build healthy communities  -1/2 a cup of network analysis to identify how social groups and communities are connected to each other  -Pinch of sugar (it helps balance the acidity)  If you're a master Data Scientist chef who wants to take a crack at this recipe and look through our expansive cookbook for more, we'd like to invite you into our kitchen to help cook up some 3-star models.  We're looking for a foundational Data Science Manager to help build and set the direction for the core data science team at Discord. You will work with teams like Analytics, Data Platform, Product, and Engineering to explore our data and unlock insights to power analyses and drive decision making at all levels of the company. Join us in creating a communications platform that millions of users and communities love!  What You Will Do:   Help establish and grow our nascent Data Science team as a foundational hire Partner with product, engineering, and business teams to identify opportunities, prioritize projects, an produce models and findings that guide decisions Explore our data and apply advanced statistical techniques to provide a deeper understanding of our product, users, communities, and business Improve our existing capabilities in product experimentation, business forecasting, and anomaly detection Design experiments to tease out casual impact and draw conclusions  What You Have:   Collaborative attitude and natural curiosity Direct experience hiring / growing data science teams You can explain complex concepts in easy-to-understand ways 5+ years of work experience in an applied research or data science role 2+ years of leadership experience as a data science manager or tech lead Fluency in SQL and a language such as Python, Java, R, or Scala Deep technical expertise in statistical modeling, modern machine learning techniques, and experiment design  Bonus Points:   Passion for Discord, games, or online communities Experience at a consumer tech company Advanced degree in Statistics, Math, Computer Science, or other quantitative fields Experience with large datasets and distributed computing (Hive/Hadoop) Familiarity with technologies such as Airflow, AWS Redshift, or BigQuery Our Benefits:   Medical insurance including Health, Dental, Vision 13 paid holidays Unlimited sick days Parental Leave and fertility benefits Transgender benefits Supported-employee clubs and Employee Resource Groups Commuter Contributions of $270 a month (pre-tax) Daily lunches and unlimited snacks Monthly gym and fitness stipend  Discord is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone.",4.6,Discord,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2015,Company - Private,Internet,Information Technology,₹1 to ₹5 billion (INR),-1,97,157,127.0,5,CA,1,0,0,1,0,Data Scientist,N/A,3001,0
21,Data Science,$97K-$157K (Glassdoor Est.),"We are looking for highly skilled people to contribute to our collaborative, multi-disciplinary teams. Your talent and experience may be just what we need. Qualifications An entrepreneurial spirit A high level of expertise in your discipline  What We Offer An organization where 100% of time is dedicated as groups see fit The opportunity to collaborate with experts across a range of disciplines A work environment and flexible schedule in support of families and domestic partnerships A culture eager to become stronger through diversity of all forms Exceptional health insurance coverage Unrivaled employer match for our 401(k) retirement plan Generous vacation and family leave On-site amenities in support of health and efficiency Fertility and adoption assistance Reimbursement for child care during interviews",3.3,Valve Corporation,"Bellevue, WA","Bellevue, WA",201 to 500 employees,-1,Company - Private,Video Games,Media,₹5 to ₹10 billion (INR),-1,97,157,127.0,-1,WA,0,0,0,0,0,Data Scientist,N/A,816,0
22,Data Science Analyst,$97K-$157K (Glassdoor Est.),"THE COMPANY  At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation’s housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.  JOB INFORMATION  Under limited supervision, uses a variety of moderately complex techniques to produce insights, new product or change recommendations, process improvement or automation, and predictive modeling. Uses a variety of data mining, data analysis, statistical, and econometric methods to deploy new analytical capabilities and applications. Partners with existing data engineering and data management teams. Applies data mining techniques to external or created data sources in preparation for analysis or use of enterprise data assets.  KEY JOB FUNCTIONS Collaborates with product/business owners, data engineers, and platform teams to understand needs and current capabilities, data availability and alternative uses. Implements new statistical modeling capabilities as appropriate. Applies predictive analytic capabilities to enhance the delivery of business applications to support the integration of data and statistical models or algorithms. Applies industry standard practices in research and testing to product development, deployment, and maintenance. Designs new analytic applications to support risk measurement, financial valuation, decision making, and business performance. Designs data visualizations, technical documentation and non-technical presentation material to communicate complex ideas and solutions to business partners. EDUCATION  Education Level Required  Bachelor's degree or Equivalent  MINIMUM EXPERIENCE  4-6 years of relevant work experience  SPECIALIZED KNOWLEDGE & SKILLS Experience with advanced quantitative methods techniques, such as regression, and Supervised Machine Learning methods strongly preferred. Programming experience with data gathering and analytics packages such as: R or Python and machine learning required Strong analytics skills, able to assess business need, define an analytic solution, and execute using analytics that range from excel tables - to statistical or machine learning analysis. Strong communication skills, both written and oral. Experience with technical writing preferred and track-record for strong presentations skills a plus Experience with Multifamily lending risk analytics and models a plus EMPLOYMENT  The future is what you make it to be. Discover compelling opportunities at careers.fanniemae.com.  Fannie Mae is an Equal Opportunity Employer, which means we are committed to fostering a diverse and inclusive workplace. All qualified applicants will receive consideration for employment without regard to race, religion, national origin, gender, gender identity, sexual orientation, personal appearance, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation in the application process, email us at careers_mailbox@fanniemae.com.  Successful job applicants will be required to successfully complete a background investigation.",3.8,Fannie Mae,"Washington, DC","Washington, DC",5001 to 10000 employees,1938,Company - Public,Investment Banking & Asset Management,Finance,₹500+ billion (INR),Freddie Mac,97,157,127.0,82,DC,1,0,0,0,1,Data Scientist,N/A,3336,1
23,Data Science,$97K-$157K (Glassdoor Est.),"Data Science Aible is looking for enthusiastic and innovative people to join our Data Science team. The ideal candidate will work closely with our Engineering team to build our real world AI that empowers the business user. They must be adept with current machine learning, predictive modeling and optimization techniques and practices. They must also be comfortable working with a wide range of stakeholders and functional teams. Responsibilities: Implement machine learning and deep learning algorithms, employing a wide array of ensemble methods and common deep learning architectures Design and develop a machine learning platform to train, manage data, evaluate, deploy models and to make and monitor predictions Maintain and update elements of the AI and machine learning code base Suggest, implement, and test models and methods Communicate findings efficiently to all team members in a timely manner Minimum Requirements: Expertise in machine learning algorithms with keen understanding of choosing suitable models, learning procedures, and working hyperparameters Demonstrate technical depth in the use of current stat-of-the-art AI and ML technologies Knowledge of the different aspects of preprocessing data, feature/target engineering, training/testing/prediction ML cycle Experience in building predictive models across classification and regression algorithms, supervised/unsupervised, ensemble methods, ANNs, etc Fluent programming skills in Python and its many modules including Matplotlib, Numpy, along with the machine learning frameworks: Tensorflow, Keras, and Sklearn 3-5 years of Data Science experience working closely with product and engineering 3+ years of experience working with scripting languages such as Python and R, and SQL Bachelor's Degree in Computer Science, Statistics, Math, Engineering, or another quantitative field Ability to work independently with excellent interpersonal and collaboration skills Preferred: Experience with cloud computing stacks such as Azure and AWS services preferred Built and deployed production-grade models in a real-time setting end-to-end machine learning deployment Scoped requirements of a project/initiative through actual launch of machine learning projects with iterative, test-driven development Participated in the engineering life-cycle, including working on distributed systems, writing production code, conducting code reviews, and deploying code Software technologies and services: Git, GitHub, Docker, APIs, AWS, Azure Masters Degree in Computer Science or equivalent Benefits: Medical, Dental, Vision, Stock Option Plan, Lunch Meals provided Status: Full Time Keywords: AI, Aible, Startup, AutoML, Data Science, Predictive Modeling",5.0,Aible,"Foster City, CA","Foster City, CA",1 to 50 employees,2018,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,97,157,127.0,2,CA,1,0,0,1,1,Data Scientist,N/A,2714,0
24,Data Science Intern,$97K-$157K (Glassdoor Est.),"Job TITLE: Data Science Intern  Location: San Francisco  Term: Contract to Hire  Skill: We are looking for a Data Science Intern to play a critical role in our use and understanding of data across various 49ers technology efforts and fan interaction and touch points. This role will have a direct impact on our analytics platform. The individual in this role will act as an internal consultant and point person to assist our business verticals in making data driven decisions. This position will be responsible for multiple concurrent projects under the guidance of the Sr. Manager of Business Intelligence & Analytics. Areas of Responsibility • Extract and analyze our data to better understand our fans. • Work with various teams to identify business opportunities in: Ticketing, Stadium Operations, • F&B concessions, Retail, Loyalty, and our mobile app. • Design and analyze experiments to drive efficiency in our Marketing and CRM efforts.  Experience: NA  Education: • Expertise in applied statistics, including regression models. • Able to translate business objectives into actionable analysis. • Able to communicate findings clearly to both technical and non-technical audiences. • Expertise in at least on statistical software package (R, SAS). • Expertise in at least one scripting language (PHP, Python, Perl, etc.). • Proficiency in SQL. • BA/BS in Math, Statistics, Economics, Computer Science, or other quantitative field. Advanced degrees preferred but not required.",4.0,Flexton,"San Francisco, CA","San Jose, CA",51 to 200 employees,2007,Company - Private,IT Services,Information Technology,₹1 to ₹5 billion (INR),-1,97,157,127.0,13,CA,1,0,0,0,0,Data Scientist,N/A,1482,0
25,Data Scientist - CTO Data Science,$97K-$157K (Glassdoor Est.),"Who we are:   The Bloomberg CTO Office is the future-looking technical arm of Bloomberg L.P. We envision, design and prototype the next generation infrastructure, hardware and applications that interface in all aspects of the company including financial products, broadcast and media, data centers, internal IT and our global network. We are passionate about what we do.  What we do: The CTO Data Science department is a dynamic, collaborative and intellectually stimulating environment - the work is always exciting and the problems we tackle are never boring. From this department we guide the company's overall strategic direction for machine learning, natural language processing, and search throughout the entire business. We are transforming our business through these technologies as well as the insights we provide our customers across the global financial sector.  At Bloomberg, our systems ingest hundreds of billions of market data ticks and millions of curated news stories for financial players to process and make investment decisions. The CTO Data Science department's machine learning efforts enhance our clients' ability to find the right pieces of information that are necessary to succeed in their jobs.  What's in it for you:   You will be part of a newly formed team within the CTO Data Science department at Bloomberg. You will be working alongside world-class talent to find innovative solutions to some of the most interesting problems in the Financial Industry. You will be responsible for diving deep into data sets to understand their structure, health, and relevance to extract all the stories that data can tell. You will work closely with others in the CTO office, Engineering, the Quantitative Research group and the Product organization to learn about problems our clients face and to develop cutting edge analytics and deliver new data products.  You'll need to have: 3+ years of work experience in the use of advanced statistical analysis and machine learning methods (e.g. topic modeling, neural networks, ensemble models, SVM, random forest, linear regression, statistical significance, correlation, to name just a few) Expertise understanding and working with multiple file types, schemas and data types. Experience with HDFS and Analytics on Hadoop (HIVE/SPARK). Superior ability to break down large, complex business problems into discrete, achievable steps. Ability to clearly communicate research findings to technical and nontechnical clients. Experience testing and validating statistical hypotheses. Expertise in statistical, numerical and visualization toolkit in R or Python (preferred). Degree in Economics, Finance, Statistics, Math, Computer Science, Engineering, Physical Sciences, or another quantitative field is highly desirable. Advanced degree preferred.   We'd like to see: Experience applying NLP models to solve business problems. Ability to tackle loosely defined problems and a strong disposition to dive deep while maintaining strategic perspective. Comfortable handling multiple projects to solve varied problems working with multiple teams. Empirical, independent, detail-oriented mindset. Sense of ownership of his/her work, working well both independently and within a collaborative team.",3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",97,157,127.0,39,NY,1,0,1,0,0,Data Scientist,N/A,3253,3
26,Data Science Internship-PAID!,$97K-$157K (Glassdoor Est.),"Job Description  If you love to problem solve for fun.....KEEP READING!!!  CATCH Intelligence is hiring Data Science Interns!  $16.00/Hour plus free catered lunches and snacks all day!  Must be a Junior or Senior with a major or minor in Math or Computer Science or MIS. Must have experience using R. Classes in Data Science, Data Visual, Operations Research would be helpful.  Prefer: Strong Math skills, creative team and independant problem solving skills and/or Database knowledge, Statistics, Machine learning  Learn in a relaxed and friendly environment! Sharpen your skills under wings of Senior Programmers, Developers, and Architects!  Build a solid path for your future today!",3.9,CATCH Intelligence,"Omaha, NE","Omaha, NE",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,97,157,127.0,-1,NE,0,0,0,0,0,Data Scientist,N/A,686,0
27,Data Science,$97K-$157K (Glassdoor Est.),"Data Science  $55hr on C2C  Verizon Business  Alpharetta, GA  No of Positions : 03 Bachelors degree with Six or more years of relevant work experience Extensive training in math computer science statistics physical science or related fields Strong experience in data analysis Strong SQL and HQL skills Experience in production model development from end to end Experience in machine learning and statistical modeling Experience in computingprogramming skills proficiency in Python Pyspark and Linux shell script Strong communication and interpersonal influencing skills Excellent problem solving and critical thinking capabilities Experience in leading large scale data science projects and delivering from end to end Experience in machine learning and statistical modeling",3.3,Peritus Inc,"Alpharetta, GA","Irving, TX",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,₹100 to ₹500 million (INR),-1,97,157,127.0,-1,GA,1,0,1,0,1,Data Scientist,N/A,773,0
28,Data Science Analyst,$97K-$157K (Glassdoor Est.),"NewGen is seeking a Data Science Analyst with an active NATO SECRET security clearance or national equivalent with NATO eligibility.  The scope of this work is to drive improvements to the quality of NATOs situational awareness, risk assessment, strategy, and decision making over the mid- to long-term horizon through the application of data science and analytics to improve organizational performance throughout the Alliance.  Tasking Contribute to the development of new deliverables and urging emerging work stands; and ensure the dissemination of the resulting products. Support the aforementioned, with focus on the following: Technical expertise in Branch regarding the application of data science and analytics to strategic alternatives. Leverages various statistical techniques to identify patterns within large data sets to make predictions and enterprise- oriented suggestions. Utilizes predictive modeling to increase and optimize the effects of Warfare Development. Strategies to identify patterns within large data sets, make predictions based on data science, and provide corresponding recommendations to senior leadership. Simplifies and communicates key findings and insights to senior leadership and draws implications for work organization-wide. Predictions based on data science. This line of effort consists of working alongside key stakeholders across NATO to develop and execute data- science strategies over the long-term. This includes both strategies for data science, e.g., how to scale the use of data science in support of every level of decision-making) and strategies informed by data science, e.g., the use of data science to support the development and translation of policy between NATO HQ and the NATO Command Structure. Metrics that improve NATOs ability to assess effects in the mid- to long- term horizon. Doing so includes the development of comprehensive analytical and mapping capabilities to identify or predict relevant, feasible, and potential challenges and opportunities to NATO and partners. Performs other job related duties as requested. In addition the completion of the following tasks is also required to support partnership-related efforts at HQ SACT. The Contractor must be granted base access and possess a NATO SECRET clearance to complete all of the requirements: Analyze emerging trends throughout the international system. Produce point papers, documents, briefings and final reports with a high degree of proficiency and efficiency as directed by established deadline. Support the implementation of findings and in ACT programs of work and, where appropriate, liaise with other NATO bodies. Populate, update and administrate the digital library. Provide support to the team for conferences and other events. Fulfill further specific tasks directed by the Branch Head or the COTR in support of SPP collaborative efforts and other partnership related work strands. Professional Qualifications and Personal Attributes Professional experience in the area international relations and security studies. M.A. degree in a data science or related field. Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the field of data science. Demonstrate experience in preparation and development of FOGO or civilian equivalent briefings, background papers, reports, and speeches. Valid NATO SECRET security clearance or national equivalent with NATO eligibility. About Us: NewGen is a technology consulting services company solving some of the public and private sectors toughest challenges across Enterprise Management, Cyber Security and DevOps. While we are vendor agnostic, many of our consultants offer expertise in IBM products and services. We offer a mix of short and long-term contracts, temp to perm and perm roles across the United States under 1099/C2C and W2 (with or without benefits) models. We know that to find and hire the best fit, we must offer interesting work at the best rate possible. By partnering with us, you will find opportunities that leverage and grow your technical abilities and offer you the flexibility you require. Join our talent network today.",3.2,NewGen Technologies,"Norfolk, VA","New Delhi, India",1001 to 5000 employees,1992,Company - Public,IT Services,Information Technology,₹5 to ₹10 billion (INR),"Pegasystems, Appian, Nagarro",97,157,127.0,28,VA,0,0,0,1,0,Data Scientist,N/A,4228,3
